,Epoch,Time per epoch,Avg time per step,Train loss,Train accuracy,Train top-3 accuracy,Test loss,Test accuracy,Test top-3 accuracy
0,0.0,79.69372487068176,0.20382026821146232,1.4863620042191137,0.4512148337900791,0.7864689897698209,1.3115905055516883,0.5346123417721519,0.841376582278481
1,1.0,79.28349471092224,0.20277108621719242,1.105408631627212,0.6028492647363707,0.8807624680306906,0.9526252769216706,0.657931170886076,0.9074367088607594
2,2.0,79.25543236732483,0.2026993155174548,0.937432043997528,0.6651574489100814,0.9103340792838875,0.8626716016214105,0.6988726265822784,0.9196993670886076
3,3.0,79.25233864784241,0.2026914031914128,0.8259666080365096,0.7085837595298162,0.9275215792838875,0.7996662191197842,0.7227056962025317,0.9399723101265823
4,4.0,79.19030785560608,0.20253275666395418,0.7246662174039484,0.7455962275909951,0.9408248081841433,0.6812996230547941,0.7684928797468354,0.9518393987341772
5,5.0,79.08899402618408,0.20227364201070097,0.6529426794985066,0.7703964194983167,0.9515625000000001,0.640232905556884,0.7808544303797469,0.9545094936708861
6,6.0,79.0713996887207,0.20222864370516805,0.5871433589769446,0.7934303068748826,0.9593350383631715,0.6016382295874101,0.7936115506329114,0.9611352848101266
7,7.0,79.04359102249146,0.20215752179665333,0.5342817831679684,0.814162404031095,0.9639945652173914,0.5502336217632776,0.8105221518987342,0.9648931962025317
8,8.0,79.13220643997192,0.2023841596930228,0.49529922008514404,0.8254595587930411,0.9682464833759591,0.4715208022654811,0.8412776898734177,0.9721123417721519
9,9.0,79.0968644618988,0.20229377100229873,0.4559427787123434,0.8402533567774936,0.9721906969309463,0.49684669963921174,0.8323773734177216,0.9702333860759493
